name,nick_name,height,weight,reach,stance,date_birth,SLpm,StrAcc,SApm,StrDef,TDavg,TDacc,TDdef,SubAvg,Win,Lose,Draw
Mark Eddiva,,68.0,145.0,68.0,Orthodox,1986-02-16,3.37,45.0,2.98,54.0,1.45,22.0,63.0,0.0,6,3,0
Scott Fiedler,,76.0,235.0,,Orthodox,,0.00,0.0,0.00,0.0,0.00,0.0,0.0,0.0,0,1,0
Drew Fickett,The Master,70.0,155.0,70.0,Orthodox,1979-12-14,2.33,41.0,2.29,57.0,1.30,35.0,30.0,2.2,42,21,0
Marcos Galvao,Loro,67.0,135.0,,Orthodox,1981-06-23,1.97,32.0,3.86,61.0,2.27,28.0,88.0,1.1,18,8,1
Herdem Alacabek,,74.0,205.0,75.0,Orthodox,1991-06-07,3.84,65.0,6.66,23.0,2.06,50.0,42.0,0.0,5,1,0
Jorge Interiano,,73.0,205.0,,,,0.00,0.0,0.00,0.0,0.00,0.0,0.0,0.0,4,3,0
Mizuki Inoue,,63.0,125.0,65.0,Orthodox,1994-08-19,5.00,50.0,6.87,48.0,0.00,0.0,66.0,0.0,14,6,0
Steve Jennum,,70.0,215.0,,Orthodox,,0.00,0.0,0.00,0.0,0.00,0.0,0.0,0.0,2,3,0
Kyle Jensen,,69.0,170.0,,Orthodox,1979-07-20,0.00,0.0,0.92,60.0,6.92,100.0,0.0,6.9,4,11,2
Tatsuya Iwasaki,,69.0,205.0,,Orthodox,,0.79,100.0,8.68,38.0,0.00,0.0,0.0,0.0,0,1,0
Jesse Jones,,69.0,170.0,,,,0.00,0.0,0.00,0.0,0.00,0.0,0.0,0.0,2,1,0
Yves Jabouin,Tiger,67.0,135.0,68.0,Orthodox,1979-05-30,3.06,41.0,2.93,62.0,1.94,60.0,82.0,0.1,20,11,0
Carlton Jones,,73.0,225.0,,Orthodox,,2.32,41.0,3.58,56.0,4.02,50.0,57.0,2.7,1,4,0
Marcus Jones,The Darkness,78.0,265.0,,Orthodox,1973-08-15,1.94,52.0,2.71,58.0,8.71,75.0,0.0,2.9,4,2,0
Ryan Jensen,,73.0,185.0,76.0,Orthodox,1977-09-20,2.84,39.0,2.99,59.0,1.55,50.0,31.0,1.9,21,8,0
Cristiane Justino,Cyborg,68.0,145.0,68.0,Orthodox,1985-07-09,7.28,52.0,2.25,64.0,0.66,55.0,94.0,0.4,21,2,0
Myles Jury,Fury,70.0,145.0,73.0,Orthodox,1988-10-31,2.94,42.0,2.16,66.0,2.16,55.0,50.0,0.3,17,4,0
Scott Junk,,73.0,265.0,,Orthodox,1978-12-17,5.13,60.0,1.81,45.0,0.00,0.0,0.0,0.0,8,3,1
Da-Un Jung,Sseda,76.0,205.0,78.0,Orthodox,1993-12-07,6.59,43.0,7.05,47.0,0.00,0.0,83.0,1.1,13,2,0
Young Sam Jung,,68.0,139.0,,Orthodox,1985-10-27,0.53,9.0,2.79,63.0,0.00,0.0,0.0,2.0,4,8,0
Jason Knight,The Kid,70.0,145.0,71.0,Orthodox,1992-07-14,2.95,33.0,3.02,51.0,1.31,31.0,47.0,1.7,20,5,0
William Knight,Knightmare,70.0,205.0,73.0,Orthodox,1988-04-03,6.61,78.0,4.42,30.0,3.54,57.0,57.0,0.0,8,1,0
Isao Kobayashi,,68.0,145.0,,,1988-10-28,1.01,33.0,1.66,45.0,2.17,100.0,100.0,0.0,21,4,4
Raquel Pa'aluhi,Rocky,67.0,135.0,,,,1.71,56.0,3.42,46.0,0.00,0.0,18.0,0.0,6,5,0
