Date,fight_name,fighter1_name,fighter2_name,kd_1,kd_2,sig_str_pct_1,sig_str_pct_2,td_pct_1,td_pct_2,sub_att_1,sub_att_2,pass_1,pass_2,sig_str_1_landed,sig_str_1_attempted,sig_str_2_landed,sig_str_2_attempted,total_str_1_landed,total_str_1_attempted,total_str_2_landed,total_str_2_attempted,td_1_landed,td_1_attempted,td_2_landed,td_2_attempted,head_1_landed,head_1_attempted,head_2_landed,head_2_attempted,body_1_landed,body_1_attempted,body_2_landed,body_2_attempted,leg_1_landed,leg_1_attempted,leg_2_landed,leg_2_attempted,distance_1_landed,distance_1_attempted,distance_2_landed,distance_2_attempted,clinch_1_landed,clinch_1_attempted,clinch_2_landed,clinch_2_attempted,ground_1_landed,ground_1_attempted,ground_2_landed,ground_2_attempted,City,State,Country,fighter1_outcome,fighter2_outcome,weight_bout,method,num_rounds,details,time,referee
2020-09-19,UFC Fight Night: Covington vs. Woodley,Tyson Nam,Jerome Rivera,1,0,0.5,0.37,0.0,0.0,0,0,0,0,36,72,30,80,36,72,31,81,0,0,0,0,27,58,9,45,7,12,2,11,2,2,19,24,18,47,29,79,3,3,1,1,15,22,0,0,Las Vegas, Nevada, USA,1,0,Bantamweight Bout,KO/TKO,2,Punches to Head On Ground,34,Chris Tognoni
2020-09-19,UFC Fight Night: Covington vs. Woodley,Andre Ewell,Irwin Rivera,0,0,0.41,0.46,0.0,0.11,0,0,1,1,123,299,81,176,124,301,85,180,0,0,1,9,78,226,49,134,36,64,14,24,9,9,18,18,119,293,74,164,4,6,1,4,0,0,6,8,Las Vegas, Nevada, USA,1,0,Bantamweight Bout,Decision - Split,3,,300,Chris Tognoni
2020-09-19,UFC Fight Night: Covington vs. Woodley,Darrick Minner,TJ Laramie,0,0,0.88,0.0,0.0,0.0,1,0,0,0,15,17,0,4,18,20,0,4,0,0,0,1,1,3,0,3,13,13,0,1,1,1,0,0,2,4,0,3,13,13,0,1,0,0,0,0,Las Vegas, Nevada, USA,1,0,Featherweight Bout,Submission,1,Guillotine Choke From Guard,52,Dan Miragliotta
2020-09-19,UFC Fight Night: Covington vs. Woodley,Jessica-Rose Clark,Sarah Alpar,0,0,0.71,0.4,1.0,0.18,0,0,4,0,76,106,12,30,124,175,26,44,1,1,2,11,66,95,3,15,9,10,3,6,1,1,6,9,15,30,12,30,25,29,0,0,36,47,0,0,Las Vegas, Nevada, USA,1,0,Women's Bantamweight Bout,KO/TKO,3,Knee to Head In Clinch,261,Chris Tognoni
2020-09-19,UFC Fight Night: Covington vs. Woodley,Mayra Bueno Silva,Mara Romero Borella,0,0,0.28,0.66,0.0,0.5,1,0,0,0,2,7,6,9,3,8,15,21,0,0,1,2,1,5,5,7,0,1,0,1,1,1,1,1,2,7,4,7,0,0,0,0,0,0,2,2,Las Vegas, Nevada, USA,1,0,Women's Flyweight Bout,Submission,1,Armbar From Bottom Guard,149,Jason Herzog
2020-09-19,UFC Fight Night: Covington vs. Woodley,Jordan Espinosa,David Dvorak,0,0,0.3,0.46,0.0,0.0,0,0,0,0,50,162,68,146,50,162,69,147,0,1,0,1,16,119,30,90,14,20,8,19,20,23,30,37,47,156,61,135,3,6,7,11,0,0,0,0,Las Vegas, Nevada, USA,0,1,Flyweight Bout,Decision - Unanimous,3,,300,Jason Herzog
2020-09-19,UFC Fight Night: Covington vs. Woodley,Journey Newson,Randy Costa,0,1,0.2,0.66,0.0,0.0,0,0,0,0,1,5,4,6,1,5,4,6,0,0,0,0,1,4,4,6,0,1,0,0,0,0,0,0,1,5,2,4,0,0,0,0,0,0,2,2,Las Vegas, Nevada, USA,0,1,,KO/TKO,1,Kick to Head At Distance,41,Mark Smith
2020-09-19,UFC Fight Night: Covington vs. Woodley,Khamzat Chimaev,Gerald Meerschaert,1,0,0.66,0.0,0.0,0.0,0,0,0,0,4,6,0,1,4,6,0,1,0,0,0,0,3,5,0,1,1,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,2,3,0,0,Las Vegas, Nevada, USA,1,0,,KO/TKO,1,Punch to Head At Distance,17,Mark Smith
2020-09-19,UFC Fight Night: Covington vs. Woodley,Mirsad Bektic,Damon Jackson,0,0,0.61,0.46,0.77,0.0,0,7,7,1,13,21,12,26,76,102,20,34,7,9,0,0,9,16,10,23,1,2,2,3,3,3,0,0,4,10,2,12,0,1,3,3,9,10,7,11,Las Vegas, Nevada, USA,0,1,,Submission,3,Guillotine Choke From Mount,81,Dan Miragliotta
2020-09-19,UFC Fight Night: Covington vs. Woodley,Kevin Holland,Darren Stewart,0,0,0.57,0.51,0.0,0.37,0,0,0,1,74,129,57,110,163,223,97,159,0,3,3,8,54,101,26,74,9,13,6,7,11,15,25,29,62,112,33,69,11,15,6,8,1,2,18,33,Las Vegas, Nevada, USA,1,0,Middleweight Bout,Decision - Split,3,,300,Mark Smith
2020-09-19,UFC Fight Night: Covington vs. Woodley,Mackenzie Dern,Randa Markos,0,0,0.69,0.6,0.0,0.0,5,0,1,0,9,13,3,5,11,17,7,10,0,0,0,0,6,10,3,5,2,2,0,0,1,1,0,0,2,6,3,5,0,0,0,0,7,7,0,0,Las Vegas, Nevada, USA,1,0,,Submission,1,Armbar From Mount,224,Jason Herzog
2020-09-19,UFC Fight Night: Covington vs. Woodley,Johnny Walker,Ryan Spann,0,2,0.86,0.53,0.0,1.0,0,0,0,1,26,30,7,13,30,34,10,16,0,0,2,2,24,27,7,13,1,2,0,0,1,1,0,0,4,5,3,7,0,0,0,0,22,25,4,6,Las Vegas, Nevada, USA,1,0,Light Heavyweight Bout,KO/TKO,1,Punches to Head On Ground,163,Dan Miragliotta
2020-09-19,UFC Fight Night: Covington vs. Woodley,Donald Cerrone,Niko Price,0,0,0.49,0.48,0.0,0.0,0,0,1,0,113,230,150,312,113,230,167,330,0,5,0,1,69,181,80,225,38,43,30,42,6,6,40,45,101,216,129,284,11,13,18,24,1,1,3,4,Las Vegas, Nevada, USA,0,0,Welterweight Bout,Decision - Majority,3,,300,Jason Herzog
2020-09-19,UFC Fight Night: Covington vs. Woodley,Colby Covington,Tyron Woodley,0,0,0.54,0.4,0.37,1.0,0,0,2,0,78,143,34,83,232,311,67,116,3,8,1,1,47,106,14,58,22,28,15,20,9,9,5,5,43,101,26,74,19,20,8,9,16,22,0,0,Las Vegas, Nevada, USA,1,0,Welterweight Bout,KO/TKO,5,"to    
      Rib injury",79,Dan Miragliotta
2019-05-11,UFC 237: Namajunas vs. Andrade,Talita Bernardo,Viviane Araujo,0,1,0.33,0.53,0.0,1.0,0,0,0,3,46,136,61,115,51,141,66,120,0,3,3,3,28,112,34,79,8,12,9,14,10,12,18,22,45,134,57,111,1,2,0,0,0,0,4,4,Rio de Janeiro, Rio de Janeiro, Brazil,0,1,Women's Bantamweight Bout,KO/TKO,3,Punch to Head At Distance,48,Fernando Portella
2019-05-11,UFC 237: Namajunas vs. Andrade,Raoni Barcelos,Carlos Huachin,1,0,0.47,0.15,0.0,0.0,1,0,3,0,59,123,20,127,70,137,20,127,0,1,0,0,52,113,17,120,3,4,2,6,4,6,1,1,23,72,19,124,1,1,1,3,35,50,0,0,Rio de Janeiro, Rio de Janeiro, Brazil,1,0,Bantamweight Bout,KO/TKO,2,Elbows to Head From Half Guard,289,Eduardo Herdy
2019-05-11,UFC 237: Namajunas vs. Andrade,Luana Carolina,Priscila Cachoeira,1,0,0.48,0.46,0.0,0.0,3,0,1,0,111,231,69,149,126,251,69,149,0,0,0,2,75,180,39,103,31,46,21,34,5,5,9,12,82,181,55,125,21,40,13,23,8,10,1,1,Rio de Janeiro, Rio de Janeiro, Brazil,1,0,Women's Flyweight Bout,Decision - Unanimous,3,,300,Fernando Portella
2019-05-11,UFC 237: Namajunas vs. Andrade,BJ Penn,Clay Guida,0,0,0.36,0.38,0.0,0.5,0,0,0,0,64,177,80,208,74,188,113,242,0,0,1,2,56,164,52,170,8,12,13,21,0,1,15,17,54,165,64,177,10,12,16,31,0,0,0,0,Rio de Janeiro, Rio de Janeiro, Brazil,0,1,Lightweight Bout,Decision - Unanimous,3,,300,Herb Dean
2019-05-11,UFC 237: Namajunas vs. Andrade,Warlley Alves,Sergio Moraes,1,0,0.45,0.32,0.0,0.0,0,0,0,0,72,157,20,62,72,157,20,62,0,0,0,0,36,107,12,52,10,14,7,9,26,36,1,1,70,154,19,59,2,3,1,3,0,0,0,0,Rio de Janeiro, Rio de Janeiro, Brazil,1,0,,KO/TKO,3,Punch to Head At Distance,253,Osiris Maia
2019-05-11,UFC 237: Namajunas vs. Andrade,Thiago Moises,Kurt Holobaugh,0,0,0.64,0.33,0.66,0.33,1,0,4,0,66,102,39,115,115,160,108,189,4,6,2,6,59,92,16,82,2,4,21,30,5,6,2,3,28,53,24,93,8,11,14,21,30,38,1,1,Rio de Janeiro, Rio de Janeiro, Brazil,1,0,Lightweight Bout,Decision - Unanimous,3,,300,Marc Goddard
2019-05-11,UFC 237: Namajunas vs. Andrade,Irene Aldana,Bethe Correia,0,0,0.33,0.41,0.0,0.0,1,0,1,0,83,247,81,196,84,248,81,196,0,0,0,2,67,224,43,141,11,17,18,32,5,6,20,23,80,243,80,195,3,3,1,1,0,1,0,0,Rio de Janeiro, Rio de Janeiro, Brazil,1,0,Women's Bantamweight Bout,Submission,3,Armbar From Back Control,204,Eduardo Herdy
2019-05-11,UFC 237: Namajunas vs. Andrade,Thiago Alves,Laureano Staropoli,0,0,0.39,0.26,0.33,1.0,0,0,0,0,58,147,54,202,59,148,57,205,1,3,1,1,27,107,37,167,5,10,15,31,26,30,2,4,54,141,53,199,4,6,1,3,0,0,0,0,Rio de Janeiro, Rio de Janeiro, Brazil,0,1,Welterweight Bout,Decision - Unanimous,3,,300,Osiris Maia
2019-05-11,UFC 237: Namajunas vs. Andrade,Jose Aldo,Alexander Volkanovski,0,0,0.36,0.53,0.0,0.0,0,0,0,0,29,79,95,176,39,90,129,215,0,1,0,3,19,63,28,93,7,12,17,24,3,4,50,59,26,76,67,147,3,3,28,29,0,0,0,0,Rio de Janeiro, Rio de Janeiro, Brazil,0,1,Featherweight Bout,Decision - Unanimous,3,,300,Marc Goddard
